Date,Year,Month,Week,Store_ID,Product_ID,Category,Season,Holiday,Promotion,Price,Inventory_Level,Temperature,Rainfall,Quantity_Sold,Sales
2015-01-01,2015,1,1,S01,P011,Clothing,Winter,Yes,No,64.98,376,16,10,133,8642.34
2015-01-01,2015,1,1,S02,P035,Clothing,Winter,Yes,No,91.68,127,32,5,116,10634.88
2015-01-01,2015,1,1,S03,P030,Home,Winter,Yes,No,106.02,542,10,6,131,13888.62
2015-01-01,2015,1,1,S04,P021,Grocery,Winter,Yes,No,29.39,207,38,12,90,2645.1
2015-01-01,2015,1,1,S05,P010,Toys,Winter,Yes,Yes,95.6,266,22,7,149,14244.4
2015-01-01,2015,1,1,S06,P018,Clothing,Winter,Yes,No,29.31,648,14,6,133,3898.23
2015-01-01,2015,1,1,S07,P012,Home,Winter,Yes,No,115.4,123,20,8,51,5885.4
2015-01-08,2015,1,2,S01,P028,Electronics,Winter,No,No,111.72,649,19,0,121,13518.12
2015-01-08,2015,1,2,S02,P015,Clothing,Winter,No,No,19.14,715,19,0,136,2603.04
2015-01-08,2015,1,2,S03,P012,Grocery,Winter,No,No,75.77,666,37,8,40,3030.8
2015-01-08,2015,1,2,S04,P038,Clothing,Winter,No,No,111.1,662,22,11,45,4999.5
2015-01-08,2015,1,2,S05,P012,Electronics,Winter,No,No,44.43,691,11,9,67,2976.81
2015-01-08,2015,1,2,S06,P039,Toys,Winter,No,No,59.01,341,25,11,66,3894.66
2015-01-08,2015,1,2,S07,P027,Clothing,Winter,No,No,27.25,448,17,10,58,1580.5
2015-01-15,2015,1,3,S01,P023,Clothing,Winter,No,No,72.73,430,31,8,54,3927.42
2015-01-15,2015,1,3,S02,P025,Electronics,Winter,No,Yes,96.22,351,31,0,57,5484.54
2015-01-15,2015,1,3,S03,P006,Grocery,Winter,No,No,91.87,395,30,0,74,6798.38
2015-01-15,2015,1,3,S04,P007,Electronics,Winter,No,No,56.31,524,23,4,63,3547.53
2015-01-15,2015,1,3,S05,P022,Grocery,Winter,No,No,93.15,825,19,8,93,8662.95
2015-01-15,2015,1,3,S06,P032,Toys,Winter,No,No,53.6,376,18,9,63,3376.8
2015-01-15,2015,1,3,S07,P007,Toys,Winter,No,Yes,7.1,285,15,9,74,525.4
2015-01-22,2015,1,4,S01,P029,Home,Winter,No,No,82.22,675,23,2,61,5015.42
2015-01-22,2015,1,4,S02,P009,Beverages,Winter,No,No,48.13,142,24,7,51,2454.63
2015-01-22,2015,1,4,S03,P007,Clothing,Winter,No,Yes,18.57,492,34,1,85,1578.45
2015-01-22,2015,1,4,S04,P003,Toys,Winter,No,No,60.57,458,28,2,70,4239.9
2015-01-22,2015,1,4,S05,P021,Beverages,Winter,No,No,28.61,339,32,7,60,1716.6
2015-01-22,2015,1,4,S06,P024,Clothing,Winter,No,Yes,74.84,251,36,6,97,7259.48
2015-01-22,2015,1,4,S07,P027,Grocery,Winter,No,No,16.73,724,17,7,79,1321.67
2015-01-29,2015,1,5,S01,P006,Electronics,Winter,No,No,116.33,477,25,5,57,6630.81
2015-01-29,2015,1,5,S02,P028,Electronics,Winter,No,No,34.45,618,32,1,102,3513.9
2015-01-29,2015,1,5,S03,P039,Toys,Winter,No,No,58.47,713,29,0,101,5905.47
2015-01-29,2015,1,5,S04,P033,Home,Winter,No,Yes,66.86,287,13,12,113,7555.18
2015-01-29,2015,1,5,S05,P029,Clothing,Winter,No,Yes,70.76,160,17,5,50,3538.0
2015-01-29,2015,1,5,S06,P014,Toys,Winter,No,No,117.89,750,32,2,34,4008.26
2015-01-29,2015,1,5,S07,P008,Clothing,Winter,No,No,48.6,573,31,1,129,6269.4
2015-02-05,2015,2,6,S01,P009,Grocery,Winter,No,Yes,85.92,763,37,0,107,9193.44
2015-02-05,2015,2,6,S02,P026,Bakery,Winter,No,Yes,29.08,474,35,2,114,3315.12
2015-02-05,2015,2,6,S03,P003,Electronics,Winter,No,Yes,118.67,711,28,0,80,9493.6
2015-02-05,2015,2,6,S04,P014,Electronics,Winter,No,Yes,45.84,754,35,5,96,4400.64
2015-02-05,2015,2,6,S05,P030,Home,Winter,No,No,118.31,876,24,7,93,11002.83
2015-02-05,2015,2,6,S06,P017,Bakery,Winter,No,Yes,84.19,788,22,2,91,7661.29
2015-02-05,2015,2,6,S07,P033,Electronics,Winter,No,No,20.04,147,33,5,49,981.96
2015-02-12,2015,2,7,S01,P004,Electronics,Winter,No,Yes,87.97,711,20,3,132,11612.04
2015-02-12,2015,2,7,S02,P019,Toys,Winter,No,No,15.11,886,10,0,79,1193.69
2015-02-12,2015,2,7,S03,P029,Clothing,Winter,No,No,27.51,561,17,7,92,2530.92
2015-02-12,2015,2,7,S04,P028,Home,Winter,No,Yes,24.97,465,27,4,117,2921.49
2015-02-12,2015,2,7,S05,P011,Toys,Winter,No,No,69.5,232,20,10,33,2293.5
2015-02-12,2015,2,7,S06,P009,Home,Winter,No,No,102.24,396,25,10,118,12064.32
2015-02-12,2015,2,7,S07,P020,Electronics,Winter,No,No,91.14,296,17,12,48,4374.72
2015-02-19,2015,2,8,S01,P018,Beverages,Winter,No,No,94.67,511,25,10,96,9088.32
2015-02-19,2015,2,8,S02,P011,Grocery,Winter,No,No,99.1,236,24,2,89,8819.9
2015-02-19,2015,2,8,S03,P020,Bakery,Winter,No,No,119.44,795,16,8,105,12541.2
2015-02-19,2015,2,8,S04,P024,Bakery,Winter,No,No,49.13,487,31,0,61,2996.93
2015-02-19,2015,2,8,S05,P033,Grocery,Winter,No,No,74.22,760,18,6,72,5343.84
2015-02-19,2015,2,8,S06,P025,Electronics,Winter,No,No,47.74,897,18,12,43,2052.82
2015-02-19,2015,2,8,S07,P001,Grocery,Winter,No,No,57.1,800,11,3,115,6566.5
2015-02-26,2015,2,9,S01,P011,Grocery,Winter,No,No,68.22,323,17,6,72,4911.84
2015-02-26,2015,2,9,S02,P035,Grocery,Winter,No,No,16.58,514,19,2,68,1127.44
2015-02-26,2015,2,9,S03,P033,Beverages,Winter,No,No,28.21,206,27,12,96,2708.16
2015-02-26,2015,2,9,S04,P014,Toys,Winter,No,No,106.17,679,22,1,99,10510.83
2015-02-26,2015,2,9,S05,P005,Grocery,Winter,No,No,5.05,474,32,1,55,277.75
2015-02-26,2015,2,9,S06,P004,Beverages,Winter,No,No,100.3,230,32,1,111,11133.3
2015-02-26,2015,2,9,S07,P001,Bakery,Winter,No,No,92.69,875,30,12,64,5932.16
2015-03-05,2015,3,10,S01,P026,Bakery,Spring,No,No,89.08,835,36,2,69,6146.52
2015-03-05,2015,3,10,S02,P008,Clothing,Spring,No,No,96.35,789,24,11,92,8864.2
2015-03-05,2015,3,10,S03,P007,Toys,Spring,No,No,52.86,219,23,7,45,2378.7
2015-03-05,2015,3,10,S04,P008,Grocery,Spring,No,Yes,101.19,487,36,1,109,11029.71
2015-03-05,2015,3,10,S05,P026,Beverages,Spring,No,No,59.19,836,11,4,114,6747.66
2015-03-05,2015,3,10,S06,P030,Home,Spring,No,Yes,27.4,740,38,4,84,2301.6
2015-03-05,2015,3,10,S07,P019,Bakery,Spring,No,No,71.05,730,21,4,107,7602.35
2015-03-12,2015,3,11,S01,P034,Electronics,Spring,No,No,57.3,311,11,4,48,2750.4
2015-03-12,2015,3,11,S02,P001,Bakery,Spring,No,Yes,108.47,314,21,3,107,11606.29
2015-03-12,2015,3,11,S03,P016,Toys,Spring,No,Yes,85.79,881,19,3,78,6691.62
2015-03-12,2015,3,11,S04,P027,Clothing,Spring,No,No,37.0,511,31,7,99,3663.0
